customer_id,acquisition_channel,state,city,first_name,last_name,email,signup_date
1.0,Marketplace Direct,SP,Metropolis,Customer,#1.0,client_1.0@domain.com,2016-09-01
2.0,Marketplace Direct,SC,Metropolis,Customer,#2.0,client_2.0@domain.com,2016-09-01
3.0,Marketplace Direct,SP,Metropolis,Customer,#3.0,client_3.0@domain.com,2016-09-01
4.0,Marketplace Direct,DF,Metropolis,Customer,#4.0,client_4.0@domain.com,2016-09-01
5.0,Marketplace Direct,SP,Metropolis,Customer,#5.0,client_5.0@domain.com,2016-09-01
6.0,Marketplace Direct,SP,Metropolis,Customer,#6.0,client_6.0@domain.com,2016-09-01
7.0,Marketplace Direct,RJ,Metropolis,Customer,#7.0,client_7.0@domain.com,2016-09-01
8.0,Marketplace Direct,MG,Metropolis,Customer,#8.0,client_8.0@domain.com,2016-09-01
9.0,Marketplace Direct,SP,Metropolis,Customer,#9.0,client_9.0@domain.com,2016-09-01
10.0,Marketplace Direct,SP,Metropolis,Customer,#10.0,client_10.0@domain.com,2016-09-01
11.0,Marketplace Direct,MG,Metropolis,Customer,#11.0,client_11.0@domain.com,2016-09-01
12.0,Marketplace Direct,RJ,Metropolis,Customer,#12.0,client_12.0@domain.com,2016-09-01
13.0,Marketplace Direct,SP,Metropolis,Customer,#13.0,client_13.0@domain.com,2016-09-01
14.0,Marketplace Direct,SP,Metropolis,Customer,#14.0,client_14.0@domain.com,2016-09-01
15.0,Marketplace Direct,SP,Metropolis,Customer,#15.0,client_15.0@domain.com,2016-09-01
16.0,Marketplace Direct,MG,Metropolis,Customer,#16.0,client_16.0@domain.com,2016-09-01
17.0,Marketplace Direct,SP,Metropolis,Customer,#17.0,client_17.0@domain.com,2016-09-01
18.0,Marketplace Direct,SP,Metropolis,Customer,#18.0,client_18.0@domain.com,2016-09-01
19.0,Marketplace Direct,GO,Metropolis,Customer,#19.0,client_19.0@domain.com,2016-09-01
20.0,Marketplace Direct,SC,Metropolis,Customer,#20.0,client_20.0@domain.com,2016-09-01
21.0,Marketplace Direct,SP,Metropolis,Customer,#21.0,client_21.0@domain.com,2016-09-01
22.0,Marketplace Direct,SP,Metropolis,Customer,#22.0,client_22.0@domain.com,2016-09-01
23.0,Marketplace Direct,SP,Metropolis,Customer,#23.0,client_23.0@domain.com,2016-09-01
24.0,Marketplace Direct,PR,Metropolis,Customer,#24.0,client_24.0@domain.com,2016-09-01
25.0,Marketplace Direct,SP,Metropolis,Customer,#25.0,client_25.0@domain.com,2016-09-01
26.0,Marketplace Direct,RJ,Metropolis,Customer,#26.0,client_26.0@domain.com,2016-09-01
27.0,Marketplace Direct,SP,Metropolis,Customer,#27.0,client_27.0@domain.com,2016-09-01
28.0,Marketplace Direct,SP,Metropolis,Customer,#28.0,client_28.0@domain.com,2016-09-01
29.0,Marketplace Direct,SP,Metropolis,Customer,#29.0,client_29.0@domain.com,2016-09-01
30.0,Marketplace Direct,RJ,Metropolis,Customer,#30.0,client_30.0@domain.com,2016-09-01
31.0,Marketplace Direct,SP,Metropolis,Customer,#31.0,client_31.0@domain.com,2016-09-01
32.0,Marketplace Direct,PR,Metropolis,Customer,#32.0,client_32.0@domain.com,2016-09-01
33.0,Marketplace Direct,SP,Metropolis,Customer,#33.0,client_33.0@domain.com,2016-09-01
34.0,Marketplace Direct,RJ,Metropolis,Customer,#34.0,client_34.0@domain.com,2016-09-01
35.0,Marketplace Direct,BA,Metropolis,Customer,#35.0,client_35.0@domain.com,2016-09-01
36.0,Marketplace Direct,PE,Metropolis,Customer,#36.0,client_36.0@domain.com,2016-09-01
37.0,Marketplace Direct,RJ,Metropolis,Customer,#37.0,client_37.0@domain.com,2016-09-01
38.0,Marketplace Direct,SP,Metropolis,Customer,#38.0,client_38.0@domain.com,2016-09-01
39.0,Marketplace Direct,SP,Metropolis,Customer,#39.0,client_39.0@domain.com,2016-09-01
40.0,Marketplace Direct,SP,Metropolis,Customer,#40.0,client_40.0@domain.com,2016-09-01
41.0,Marketplace Direct,SP,Metropolis,Customer,#41.0,client_41.0@domain.com,2016-09-01
42.0,Marketplace Direct,SP,Metropolis,Customer,#42.0,client_42.0@domain.com,2016-09-01
43.0,Marketplace Direct,PR,Metropolis,Customer,#43.0,client_43.0@domain.com,2016-09-01
44.0,Marketplace Direct,SP,Metropolis,Customer,#44.0,client_44.0@domain.com,2016-09-01
45.0,Marketplace Direct,SP,Metropolis,Customer,#45.0,client_45.0@domain.com,2016-09-01
46.0,Marketplace Direct,MG,Metropolis,Customer,#46.0,client_46.0@domain.com,2016-09-01
47.0,Marketplace Direct,RJ,Metropolis,Customer,#47.0,client_47.0@domain.com,2016-09-01
48.0,Marketplace Direct,MG,Metropolis,Customer,#48.0,client_48.0@domain.com,2016-09-01
