customer_id,first_name,last_name,email,gender,age,city,state,country,signup_date,acquisition_channel
1,First1,Last1,user1@example.com,Male,25,City79,IL,USA,2022-11-16 06:11:50,Paid Search
2,First2,Last2,user2@example.com,Female,42,City63,TX,USA,2022-09-26 07:53:35,Paid Search
3,First3,Last3,user3@example.com,Female,50,City89,CA,USA,2021-08-19 08:03:39,Paid Search
4,First4,Last4,user4@example.com,Female,20,City42,CA,USA,2023-11-09 21:16:53,Direct
5,First5,Last5,user5@example.com,Male,55,City59,NY,USA,2023-04-07 09:33:53,Social Media
6,First6,Last6,user6@example.com,Male,33,City32,TX,USA,2022-02-23 04:36:38,Organic Search
7,First7,Last7,user7@example.com,Male,23,City55,MI,USA,2023-06-12 12:28:20,Direct
8,First8,Last8,user8@example.com,Female,44,City52,MI,USA,2021-08-20 18:58:52,Referral
9,First9,Last9,user9@example.com,Female,29,City100,IL,USA,2021-08-22 06:31:54,Paid Search
10,First10,Last10,user10@example.com,Female,34,City6,OH,USA,2023-05-16 07:28:41,Direct
11,First11,Last11,user11@example.com,Male,30,City78,FL,USA,2022-09-04 21:11:25,Email
12,First12,Last12,user12@example.com,Other,25,City95,MI,USA,2022-09-01 02:00:41,Social Media
13,First13,Last13,user13@example.com,Female,43,City49,PA,USA,2022-09-20 14:18:04,Direct
14,First14,Last14,user14@example.com,Male,31,City93,PA,USA,2021-05-18 15:11:02,Paid Search
15,First15,Last15,user15@example.com,Male,18,City41,NY,USA,2022-01-18 10:01:23,Organic Search
16,First16,Last16,user16@example.com,Male,41,City51,PA,USA,2022-09-19 22:46:47,Organic Search
17,First17,Last17,user17@example.com,Male,20,City79,IL,USA,2021-09-28 20:40:54,Referral
18,First18,Last18,user18@example.com,Female,21,City96,PA,USA,2022-07-06 09:09:15,Social Media
19,First19,Last19,user19@example.com,Male,49,City74,FL,USA,2022-09-02 09:31:02,Email
20,First20,Last20,user20@example.com,Male,20,City77,CA,USA,2023-10-29 10:31:16,Social Media
21,First21,Last21,user21@example.com,Female,18,City69,NC,USA,2021-09-26 21:05:23,Direct
22,First22,Last22,user22@example.com,Male,42,City68,TX,USA,2022-04-26 15:45:54,Email
23,First23,Last23,user23@example.com,Male,31,City83,CA,USA,2023-12-10 18:33:30,Social Media
24,First24,Last24,user24@example.com,Male,32,City91,FL,USA,2021-07-24 08:21:18,Organic Search
25,First25,Last25,user25@example.com,Male,31,City5,OH,USA,2023-05-04 08:11:30,Paid Search
26,First26,Last26,user26@example.com,Female,37,City67,FL,USA,2021-07-13 19:22:50,Direct
27,First27,Last27,user27@example.com,Male,25,City14,FL,USA,2023-07-19 22:49:22,Organic Search
28,First28,Last28,user28@example.com,Female,52,City58,NC,USA,2022-06-18 20:14:37,Organic Search
29,First29,Last29,user29@example.com,Female,18,City59,PA,USA,2023-11-30 13:04:19,Paid Search
30,First30,Last30,user30@example.com,Male,40,City6,NC,USA,2021-07-06 01:29:18,Direct
31,First31,Last31,user31@example.com,Female,42,City32,NY,USA,2023-01-23 14:11:39,Organic Search
32,First32,Last32,user32@example.com,Male,25,City67,OH,USA,2023-01-31 15:15:07,Social Media
33,First33,Last33,user33@example.com,Male,22,City69,OH,USA,2023-02-26 10:47:37,Social Media
34,First34,Last34,user34@example.com,Female,47,City51,GA,USA,2021-04-21 11:02:09,Organic Search
35,First35,Last35,user35@example.com,Other,23,City95,MI,USA,2021-11-12 16:27:26,Referral
36,First36,Last36,user36@example.com,Female,27,City6,NC,USA,2022-01-05 18:58:11,Social Media
37,First37,Last37,user37@example.com,Male,45,City72,GA,USA,2021-12-21 18:29:44,Social Media
38,First38,Last38,user38@example.com,Male,35,City50,NY,USA,2023-01-09 11:20:38,Organic Search
39,First39,Last39,user39@example.com,Female,18,City67,TX,USA,2021-03-01 23:36:28,Referral
40,First40,Last40,user40@example.com,Male,55,City98,NY,USA,2023-03-10 16:56:39,Referral
41,First41,Last41,user41@example.com,Male,28,City81,CA,USA,2022-07-31 01:59:58,Paid Search
42,First42,Last42,user42@example.com,Female,30,City7,OH,USA,2021-07-09 06:12:49,Referral
43,First43,Last43,user43@example.com,Male,38,City25,GA,USA,2021-09-05 08:58:20,Paid Search
44,First44,Last44,user44@example.com,Female,42,City38,IL,USA,2021-04-17 18:04:08,Organic Search
45,First45,Last45,user45@example.com,Male,58,City57,MI,USA,2022-05-18 05:02:57,Social Media
46,First46,Last46,user46@example.com,Female,18,City51,NC,USA,2022-10-13 20:15:23,Paid Search
47,First47,Last47,user47@example.com,Male,44,City39,FL,USA,2022-09-28 14:00:08,Direct
48,First48,Last48,user48@example.com,Female,43,City100,CA,USA,2023-11-19 19:55:51,Organic Search
49,First49,Last49,user49@example.com,Female,33,City37,FL,USA,2021-11-20 18:53:03,Paid Search
50,First50,Last50,user50@example.com,Male,44,City60,IL,USA,2023-04-14 17:10:06,Paid Search
51,First51,Last51,user51@example.com,Other,46,City22,GA,USA,2023-03-03 01:07:26,Email
