customer_id,acquisition_channel,state,city,first_name,last_name,email,signup_date
13707,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#13707,client_13707@domain.com,2009-12-01
18110,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#18110,client_18110@domain.com,2009-12-01
13254,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#13254,client_13254@domain.com,2009-12-01
14295,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14295,client_14295@domain.com,2009-12-01
16153,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16153,client_16153@domain.com,2009-12-01
16094,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16094,client_16094@domain.com,2009-12-01
15747,Direct Mail & Wholesale,Spain,Metropolis,Customer,#15747,client_15747@domain.com,2009-12-01
16046,Direct Mail & Wholesale,EIRE,Metropolis,Customer,#16046,client_16046@domain.com,2009-12-01
18130,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#18130,client_18130@domain.com,2009-12-01
18081,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#18081,client_18081@domain.com,2009-12-01
16489,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16489,client_16489@domain.com,2009-12-01
13253,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#13253,client_13253@domain.com,2009-12-01
13673,Direct Mail & Wholesale,Germany,Metropolis,Customer,#13673,client_13673@domain.com,2009-12-01
16402,Direct Mail & Wholesale,Spain,Metropolis,Customer,#16402,client_16402@domain.com,2009-12-01
14045,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14045,client_14045@domain.com,2009-12-01
13928,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#13928,client_13928@domain.com,2009-12-01
16907,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16907,client_16907@domain.com,2009-12-01
15376,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#15376,client_15376@domain.com,2009-12-01
15801,Direct Mail & Wholesale,EIRE,Metropolis,Customer,#15801,client_15801@domain.com,2009-12-01
17402,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#17402,client_17402@domain.com,2009-12-01
17255,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#17255,client_17255@domain.com,2009-12-01
14461,Direct Mail & Wholesale,EIRE,Metropolis,Customer,#14461,client_14461@domain.com,2009-12-01
13782,Direct Mail & Wholesale,Germany,Metropolis,Customer,#13782,client_13782@domain.com,2009-12-01
14244,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14244,client_14244@domain.com,2009-12-01
17105,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#17105,client_17105@domain.com,2009-12-01
17147,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#17147,client_17147@domain.com,2009-12-01
14899,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14899,client_14899@domain.com,2009-12-01
12443,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#12443,client_12443@domain.com,2009-12-01
16294,Direct Mail & Wholesale,EIRE,Metropolis,Customer,#16294,client_16294@domain.com,2009-12-01
15278,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#15278,client_15278@domain.com,2009-12-01
13739,Direct Mail & Wholesale,EIRE,Metropolis,Customer,#13739,client_13739@domain.com,2009-12-01
14940,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14940,client_14940@domain.com,2009-12-01
13017,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#13017,client_13017@domain.com,2009-12-01
17506,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#17506,client_17506@domain.com,2009-12-01
18225,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#18225,client_18225@domain.com,2009-12-01
14134,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14134,client_14134@domain.com,2009-12-01
16944,Direct Mail & Wholesale,EIRE,Metropolis,Customer,#16944,client_16944@domain.com,2009-12-01
14683,Direct Mail & Wholesale,Netherlands,Metropolis,Customer,#14683,client_14683@domain.com,2009-12-01
14391,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14391,client_14391@domain.com,2009-12-01
15728,Direct Mail & Wholesale,Germany,Metropolis,Customer,#15728,client_15728@domain.com,2009-12-01
14774,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14774,client_14774@domain.com,2009-12-01
12347,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#12347,client_12347@domain.com,2009-12-01
16017,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16017,client_16017@domain.com,2009-12-01
16953,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16953,client_16953@domain.com,2009-12-01
15916,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#15916,client_15916@domain.com,2009-12-01
16535,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16535,client_16535@domain.com,2009-12-01
15275,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#15275,client_15275@domain.com,2009-12-01
16226,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16226,client_16226@domain.com,2009-12-01
14293,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14293,client_14293@domain.com,2009-12-01
14044,Direct Mail & Wholesale,Germany,Metropolis,Customer,#14044,client_14044@domain.com,2009-12-01
16685,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16685,client_16685@domain.com,2009-12-01
12990,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#12990,client_12990@domain.com,2009-12-01
14723,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14723,client_14723@domain.com,2009-12-01
16991,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16991,client_16991@domain.com,2009-12-01
13299,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#13299,client_13299@domain.com,2009-12-01
17958,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#17958,client_17958@domain.com,2009-12-01
14485,Direct Mail & Wholesale,Spain,Metropolis,Customer,#14485,client_14485@domain.com,2009-12-01
14126,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14126,client_14126@domain.com,2009-12-01
13997,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#13997,client_13997@domain.com,2009-12-01
16380,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#16380,client_16380@domain.com,2009-12-01
14820,Direct Mail & Wholesale,Netherlands,Metropolis,Customer,#14820,client_14820@domain.com,2009-12-01
17631,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#17631,client_17631@domain.com,2009-12-01
15704,Direct Mail & Wholesale,Germany,Metropolis,Customer,#15704,client_15704@domain.com,2009-12-01
15157,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#15157,client_15157@domain.com,2009-12-01
12357,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#12357,client_12357@domain.com,2009-12-01
15190,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#15190,client_15190@domain.com,2009-12-01
13082,Direct Mail & Wholesale,Belgium,Metropolis,Customer,#13082,client_13082@domain.com,2009-12-01
15354,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#15354,client_15354@domain.com,2009-12-01
14994,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14994,client_14994@domain.com,2009-12-01
17385,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#17385,client_17385@domain.com,2009-12-01
15158,Direct Mail & Wholesale,France,Metropolis,Customer,#15158,client_15158@domain.com,2009-12-01
17180,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#17180,client_17180@domain.com,2009-12-01
12607,Direct Mail & Wholesale,France,Metropolis,Customer,#12607,client_12607@domain.com,2009-12-01
15876,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#15876,client_15876@domain.com,2009-12-01
14687,Direct Mail & Wholesale,France,Metropolis,Customer,#14687,client_14687@domain.com,2009-12-01
14265,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14265,client_14265@domain.com,2009-12-01
15542,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#15542,client_15542@domain.com,2009-12-01
17928,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#17928,client_17928@domain.com,2009-12-01
18153,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#18153,client_18153@domain.com,2009-12-01
14732,Direct Mail & Wholesale,United Kingdom,Metropolis,Customer,#14732,client_14732@domain.com,2009-12-01
